oare_id,genre,source,alignment_method
3a1e965b-3b71-452c-84a2-7416f7cdf986,unknown,sentences_oare_train,sentences_oare
3a1e965b-3b71-452c-84a2-7416f7cdf986,unknown,sentences_oare_train,sentences_oare
3a1e965b-3b71-452c-84a2-7416f7cdf986,unknown,sentences_oare_train,sentences_oare
3a1e965b-3b71-452c-84a2-7416f7cdf986,unknown,sentences_oare_train,sentences_oare
46417fef-8c27-4092-a5a6-b3dec29c34f2,unknown,sentences_oare_train,sentences_oare
46417fef-8c27-4092-a5a6-b3dec29c34f2,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
2ee64c13-a638-4006-af31-c4b6b39d077c,unknown,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4e40607b-ced3-4841-a5fb-83fc90a41d7b,letter,sentences_oare_train,sentences_oare
4aac0b6b-c7eb-4efb-b988-2df596dad287,unknown,sentences_oare_train,sentences_oare
03826c8c-3727-4caf-b781-1cc5f6ab56e6,unknown,sentences_oare_train,sentences_oare
03826c8c-3727-4caf-b781-1cc5f6ab56e6,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
301df795-4d64-426b-9682-02a8c8531208,unknown,sentences_oare_train,sentences_oare
c4f56b6d-4f1f-4d12-808f-5c55cdf2eb1f,unknown,sentences_oare_train,sentences_oare
c4f56b6d-4f1f-4d12-808f-5c55cdf2eb1f,unknown,sentences_oare_train,sentences_oare
c4f56b6d-4f1f-4d12-808f-5c55cdf2eb1f,unknown,sentences_oare_train,sentences_oare
27cdbaba-9b9e-4832-945b-d13d3bf4e2ac,unknown,sentences_oare_train,sentences_oare
27cdbaba-9b9e-4832-945b-d13d3bf4e2ac,unknown,sentences_oare_train,sentences_oare
937e71fb-57c8-46c0-afbc-48f9429886e4,memo,sentences_oare_train,sentences_oare
